"","Type","Subpopulation","Indicator","Value","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"3301","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",7100,46,51.3736806603931,5.82380173980417,39.9592389972752,62.7881223235109,106570.933266176,11677.4426414357,83683.5662574301,129458.300274922
"3302","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",7400,47,54.7823741116309,6.18084381286326,42.6681428443517,66.8966053789101,113642.017869168,12280.2083652589,89573.251750613,137710.783987723
"3303","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",7700,48,57.9189203053956,6.653072379031,44.8791380559566,70.9587025548345,120148.552943258,13016.5878972861,94636.5094629778,145660.596423539
"3304","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",8400,49,58.0416335576016,6.65374057499505,45.0005416681385,71.0827254470648,120403.112586321,13017.8955527553,94888.5061484167,145917.719024226
"3305","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",9300,50,58.5251725946246,6.64333272915318,45.5044797081682,71.545865481081,121406.178860408,12996.8347817139,95932.8507752316,146879.506945585
"3306","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",10000,52,58.6901838221113,6.64336466526859,45.6694283420189,71.7109393022037,121748.482551454,12996.8526686792,96275.1194084696,147221.845694439
"3307","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",11000,53,58.7266233502948,6.64329135158943,45.7060115623731,71.7472351382165,121824.073680538,12996.7342550937,96350.9426239159,147297.204737159
"3308","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",12000,55,58.9008751308253,6.64280816067327,45.8812103796969,71.9205398819536,122185.546221257,12995.7810359311,96714.2834398635,147656.809002651
"3309","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",13000,57,59.5342588229816,6.63209125923281,46.5355988127024,72.5329188332608,123499.454244217,12975.9417914814,98067.0756674254,148931.832821009
"3310","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",14000,58,59.6749984921086,6.63137664345549,46.6777391030157,72.6722578812014,123791.408367294,12974.4183320128,98362.0157161927,149220.801018395
"3311","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",15000,59,59.8248166717172,6.63072353439269,46.8288373528653,72.820795990569,124102.195194632,12972.9706486402,98675.639950802,149528.750438462
"3312","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",17000,60,62.9613628654818,6.52520220107805,50.1722015595273,75.7505241714363,130608.730268723,12443.410119953,106220.094588754,154997.365948692
"3313","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",18000,62,63.2502606671212,6.52444548847242,50.4625824906204,76.037938843622,131208.027573169,12441.8393888473,106822.470469596,155593.584676741
"3314","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",20000,63,64.446579996413,6.55203974997674,51.6048180611838,77.2883419316423,133689.704294948,12504.6817181559,109180.978489226,158198.43010067
"3315","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",21000,67,77.8749314970913,5.21270533833861,67.6582167719279,88.0916462222546,161545.834773775,10220.0892150638,141514.827993464,181576.841554087
"3316","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",22000,68,78.0247761522246,5.21262690154065,67.8082151603603,88.2413371440889,161856.676522648,10219.9183968407,141826.004539902,181887.348505394
"3317","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",25000,69,79.1972294582453,5.26160544373299,68.8846722876688,89.5097866288218,164288.844929261,10323.2480758446,144055.650497133,184522.039361389
"3318","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",26000,70,80.3935487875371,5.20671422712585,70.1885764245782,90.5985211504961,166770.52165104,10204.2466065945,146770.56581275,186770.47748933
"3319","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",28000,71,84.6108216710469,4.92931714554885,74.9495375973953,94.2721057446984,175518.94499265,10497.0685207147,154945.0687488,196092.8212365
"3320","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",29000,73,86.6179258660743,4.64931208182515,77.50544163281,95.7304100993385,179682.535463041,9960.4645344586,160160.383706213,199204.687219868
"3321","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",30000,75,89.0364595440728,4.55967272776835,80.0996652163573,97.9732538717882,184699.606225477,9792.63668166855,165506.39101572,203892.821435233
"3322","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",31000,77,91.3993900451221,4.39198755185592,82.7912526229363,100,189601.332274747,9452.53369006644,171074.706679565,208127.957869929
"3323","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",34000,79,98.668690094342,1.04433158264217,96.6218378044456,100,204680.96216458,4795.91384900318,195281.143747577,214080.780581583
"3324","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",36000,80,98.8185347494753,1.0360750945295,96.7878648789186,100,204991.803913453,4788.20222439935,195607.100002936,214376.50782397
"3325","Combined","All Basins","Total_Kjeldahl_Nitrogen_Total_as_N",63000,81,100,0,100,100,207442.666938088,4267.10904847906,199079.286884964,215806.046991212
"3326","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",89,0,0,0,0,0,0,0,0,0
"3327","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",150,0,0,0,0,0,0,0,0,0
"3328","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",190,0,0,0,0,0,0,0,0,0
"3329","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",200,0,0,0,0,0,0,0,0,0
"3330","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",210,1,6.4184659950291,5.8002219519354,0,17.7866921231611,993.733784910443,892.799398383804,0,2743.58845116173
"3331","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",250,2,12.3572068096481,7.69563380007714,0,27.4403718960084,1913.19450837366,1171.72846390351,0,4209.74009728497
"3332","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",310,3,20.1870225477039,9.38477698958525,1.79319764517661,38.5808474502312,3125.4393710177,1434.3370522735,314.190406870292,5936.68833516512
"3333","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",340,3,20.1870225477039,9.38477698958525,1.79319764517661,38.5808474502312,3125.4393710177,1434.3370522735,314.190406870292,5936.68833516512
"3334","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",360,3,20.1870225477039,9.38477698958525,1.79319764517661,38.5808474502312,3125.4393710177,1434.3370522735,314.190406870292,5936.68833516512
"3335","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",420,3,20.1870225477039,9.38477698958525,1.79319764517661,38.5808474502312,3125.4393710177,1434.3370522735,314.190406870292,5936.68833516512
"3336","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",470,3,20.1870225477039,9.38477698958525,1.79319764517661,38.5808474502312,3125.4393710177,1434.3370522735,314.190406870292,5936.68833516512
"3337","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",580,3,20.1870225477039,9.38477698958525,1.79319764517661,38.5808474502312,3125.4393710177,1434.3370522735,314.190406870292,5936.68833516512
"3338","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",590,4,26.125763362323,10.840774359945,4.87823605230544,47.3732906723405,4044.90009448092,1651.99535693849,807.048692254098,7282.75149670774
"3339","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",600,4,26.125763362323,10.840774359945,4.87823605230544,47.3732906723405,4044.90009448092,1651.99535693849,807.048692254098,7282.75149670774
"3340","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",660,5,33.9555791003787,11.6933932505244,11.0369494722872,56.8742087284703,5257.14495712497,1799.53423705928,1730.12266354201,8784.16725070792
"3341","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",790,5,33.9555791003787,11.6933932505244,11.0369494722872,56.8742087284703,5257.14495712497,1799.53423705928,1730.12266354201,8784.16725070792
"3342","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",800,5,33.9555791003787,11.6933932505244,11.0369494722872,56.8742087284703,5257.14495712497,1799.53423705928,1730.12266354201,8784.16725070792
"3343","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",830,5,33.9555791003787,11.6933932505244,11.0369494722872,56.8742087284703,5257.14495712497,1799.53423705928,1730.12266354201,8784.16725070792
"3344","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",860,6,39.8943199149978,12.1384233219474,16.1034473748799,63.6851924551157,6176.60568058818,1860.31078217006,2530.46354748332,9822.74781369304
"3345","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",1100,8,52.3118047038583,12.47112395364,27.8688509079892,76.7547584997275,8099.13267813852,1909.90139184455,4355.79473610029,11842.4706201768
"3346","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",1200,8,52.3118047038583,12.47112395364,27.8688509079892,76.7547584997275,8099.13267813852,1909.90139184455,4355.79473610029,11842.4706201768
"3347","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",1300,9,57.1345988423205,11.8048700602865,33.9974786819838,80.2717190026572,8845.81786378407,1753.64196112081,5408.7427782091,12282.892949359
"3348","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",1400,9,57.1345988423205,11.8048700602865,33.9974786819838,80.2717190026572,8845.81786378407,1753.64196112081,5408.7427782091,12282.892949359
"3349","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",1500,9,57.1345988423205,11.8048700602865,33.9974786819838,80.2717190026572,8845.81786378407,1753.64196112081,5408.7427782091,12282.892949359
"3350","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",1700,9,57.1345988423205,11.8048700602865,33.9974786819838,80.2717190026572,8845.81786378407,1753.64196112081,5408.7427782091,12282.892949359
"3351","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",2000,10,63.5530648373496,11.8920533408355,40.2450685870829,86.8610610876164,9839.55164869451,1765.86044357617,6378.52877756129,13300.5745198277
"3352","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",2700,10,63.5530648373496,11.8920533408355,40.2450685870829,86.8610610876164,9839.55164869451,1765.86044357617,6378.52877756129,13300.5745198277
"3353","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",3100,11,71.3828805754054,10.9823382976748,49.8578930459278,92.907868104883,11051.7965113386,1630.99507904278,7855.10489745264,14248.4881252245
"3354","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",3700,11,71.3828805754054,10.9823382976748,49.8578930459278,92.907868104883,11051.7965113386,1630.99507904278,7855.10489745264,14248.4881252245
"3355","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",4000,11,71.3828805754054,10.9823382976748,49.8578930459278,92.907868104883,11051.7965113386,1630.99507904278,7855.10489745264,14248.4881252245
"3356","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",4500,11,71.3828805754054,10.9823382976748,49.8578930459278,92.907868104883,11051.7965113386,1630.99507904278,7855.10489745264,14248.4881252245
"3357","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",4700,12,79.2126963134612,9.91397866343432,59.7816551896314,98.643737437291,12264.0413739826,1484.13309187515,9355.19396564323,15172.888782322
"3358","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",4800,12,79.2126963134612,9.91397866343432,59.7816551896314,98.643737437291,12264.0413739826,1484.13309187515,9355.19396564323,15172.888782322
"3359","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",5100,12,79.2126963134612,9.91397866343432,59.7816551896314,98.643737437291,12264.0413739826,1484.13309187515,9355.19396564323,15172.888782322
"3360","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",5500,12,79.2126963134612,9.91397866343432,59.7816551896314,98.643737437291,12264.0413739826,1484.13309187515,9355.19396564323,15172.888782322
"3361","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",5600,13,87.042512051517,7.28320081519435,72.7677007615633,100,13476.2862366266,1125.98544160076,11269.3953239727,15683.1771492806
"3362","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",5700,13,87.042512051517,7.28320081519435,72.7677007615633,100,13476.2862366266,1125.98544160076,11269.3953239727,15683.1771492806
"3363","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",6300,13,87.042512051517,7.28320081519435,72.7677007615633,100,13476.2862366266,1125.98544160076,11269.3953239727,15683.1771492806
"3364","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",7100,13,87.042512051517,7.28320081519435,72.7677007615633,100,13476.2862366266,1125.98544160076,11269.3953239727,15683.1771492806
"3365","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",7400,13,87.042512051517,7.28320081519435,72.7677007615633,100,13476.2862366266,1125.98544160076,11269.3953239727,15683.1771492806
"3366","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",7700,13,87.042512051517,7.28320081519435,72.7677007615633,100,13476.2862366266,1125.98544160076,11269.3953239727,15683.1771492806
"3367","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",8400,13,87.042512051517,7.28320081519435,72.7677007615633,100,13476.2862366266,1125.98544160076,11269.3953239727,15683.1771492806
"3368","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",9300,14,93.5212560257585,5.31038758258605,83.1130876199411,100,14479.3525107138,848.500403900172,12816.3222782017,16142.3827432258
"3369","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",10000,14,93.5212560257585,5.31038758258605,83.1130876199411,100,14479.3525107138,848.500403900172,12816.3222782017,16142.3827432258
"3370","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",11000,14,93.5212560257585,5.31038758258605,83.1130876199411,100,14479.3525107138,848.500403900172,12816.3222782017,16142.3827432258
"3371","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",12000,14,93.5212560257585,5.31038758258605,83.1130876199411,100,14479.3525107138,848.500403900172,12816.3222782017,16142.3827432258
"3372","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",13000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3373","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",14000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3374","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",15000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3375","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",17000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3376","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",18000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3377","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",20000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3378","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",21000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
"3379","Basin","ZONE 1","Total_Kjeldahl_Nitrogen_Total_as_N",22000,15,100,0,100,100,15482.4187848009,376.01390791525,14745.4450676008,16219.3925020009
