"","Type","Subpopulation","Indicator","Value","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"2216","Combined","All Basins","TN",0.424,5,3.56705657550791,2.09998204554505,0,7.68294575295696,10669.8555890278,6268.20403572863,0,22955.3097468045
"2217","Combined","All Basins","TN",0.434,6,3.84908321584674,2.09051023060435,0,7.94640797714379,11513.4596813586,6238.94387316348,0,23741.5649743258
"2218","Combined","All Basins","TN",0.48,7,3.94658719049485,2.09222715332042,0,8.04727705847964,11805.1156466704,6244.08684447038,0,24043.3009781727
"2219","Combined","All Basins","TN",0.484,9,6.23455591186501,2.41150097667783,1.50810084889329,10.9610109748367,18648.9364082617,7101.1690256237,4730.90086990788,32566.9719466156
"2220","Combined","All Basins","TN",0.502,10,6.33205988651312,2.41176796643693,1.60508153322933,11.0590382397969,18940.5923735735,7101.96505811994,5020.99664019654,32860.1881069505
"2221","Combined","All Basins","TN",0.521,11,6.42956386116124,2.41208198710211,1.70197003868329,11.1571576836392,19232.2483388854,7102.9615074447,5310.69960071941,33153.7970770513
"2222","Combined","All Basins","TN",0.534,13,8.88765994540107,3.06071289242528,2.8887729092301,14.886546981572,26584.9576911499,8955.72808038003,9032.05319827098,44137.8621840288
"2223","Combined","All Basins","TN",0.549,14,11.0781246921231,3.58547366839676,4.05072543454875,18.1055239496975,33137.1224874294,10441.3611342697,12672.4307146846,53601.8142601742
"2224","Combined","All Basins","TN",0.57,15,11.4499571556043,3.59777440053185,4.39844890606166,18.5014654051469,34249.355670356,10481.0419200373,13706.8909866283,54791.8203540837
"2225","Combined","All Basins","TN",0.594,16,11.7547656086439,3.60839722234489,4.68243701093351,18.8270942063542,35161.1052059754,10510.8618823438,14560.1944701066,55762.0159418441
"2226","Combined","All Basins","TN",0.6,17,12.126598072125,3.60681805269089,5.05736459006198,19.195831554188,36273.338388902,10508.2573729616,15677.5323976197,56869.1443801842
"2227","Combined","All Basins","TN",0.614,18,12.3556291866953,3.61128378015252,5.27764303964271,19.4336153337479,36958.4211360157,10514.0748277585,16351.2131428499,57565.6291291815
"2228","Combined","All Basins","TN",0.618,19,12.6633001987342,3.60981586464429,5.58819111321012,19.7384092842584,37878.733219072,10511.9487527321,17275.6922563864,58481.7741817576
"2229","Combined","All Basins","TN",0.684,21,13.7994179025617,3.73082496984513,6.48713532904252,21.1117004760809,41277.112688355,10872.2020761369,19967.9881864851,62586.2371902249
"2230","Combined","All Basins","TN",0.694,23,14.0070233177435,3.73235816485669,6.69173573722037,21.3223108982666,41898.1064271982,10876.911156333,20579.7522977436,63216.4605566528
"2231","Combined","All Basins","TN",0.714,26,15.0424960616693,3.80107148392286,7.59253285051824,22.4924592728203,44995.4345491916,11088.0942387472,23263.169184061,66727.6999143223
"2232","Combined","All Basins","TN",0.724,27,15.8928188013195,3.83624953555586,8.37390787592152,23.4117297267175,47538.9380356321,11198.7450533577,25589.8010590049,69488.0750122592
"2233","Combined","All Basins","TN",0.734,28,16.7118222301121,3.89292781159456,9.08182392497248,24.3418205352518,49988.7585324913,11374.1499768942,27695.8342230216,72281.6828419611
